rank,region,organization,evidence_level,fit_total,match_score,match_reason,reach_score,reach_reason,budget_score,budget_reason,cycle_score,cycle_reason,contact_name,contact_title,personal_reach_method,email,phone,linkedin_person_search_url,reachability_status,source_urls,outreach_zh_around_200_chars
1,香港,Blue Pool Capital,A,36,10,"Joe Tsai 家族办公室资产、PE、体育资产、消费科技投资并存，多币种与非标资产报告复杂度极高。",8,"Oliver Weisberg 为 CEO/投资负责人，有明确个人姓名和高可信 LinkedIn 检索入口；需 Apollo/Hunter 补个人邮箱。",10,"公开资料显示管理 Tsai 家族办公室及数十亿美元级资产，财富科技预算能力强。",8,"机构化扩张和外部基金化提升报表、LP与家族资产分层需求。",Oliver Weisberg,CEO / investment lead,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Oliver%20Weisberg%20Blue%20Pool%20Capital,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.wsj.com/finance/investing/blue-pool-capital-raises-1-billion-for-first-private-equity-fund-2091966d | https://www.ft.com/content/42ccc0ea-4812-44bf-978a-f56c966f2711,"Oliver 你好，Blue Pool 从 Joe Tsai 家族办公室延展到更机构化的多策略与私募投资，资产横跨体育、消费、科技和全球基金。Canopy 可把多托管行、基金管理人、直接投资和运营资产数据汇总成统一视图，减少 Excel 对账和多币种报表延迟。若团队正在提升家族资产与外部基金之间的报告效率，我希望安排 15 分钟介绍 Canopy 的适用场景。"
2,香港,Horizons Ventures,B,34,9,"李嘉诚相关科技投资平台，全球 VC/成长投资组合多，估值和持仓更新频繁。",8,"Solina Chau 为核心投资决策人，有明确个人身份与 LinkedIn 检索入口。",9,"长期全球科技投资，资产规模和系统化投后管理预算潜力高。",8,"科技投资组合快速变化，投后数据、估值和跨境报告更新需求持续。",Solina Chau,Co-founder / senior principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Solina%20Chau%20Horizons%20Ventures,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.horizonsventures.com/ | https://en.wikipedia.org/wiki/Solina_Chau,"Solina 你好，Horizons 长期围绕全球颠覆性科技公司布局，投资地域和资产阶段都非常分散。Canopy 服务家族资本团队，将银行、券商、基金、私募和直接股权数据整合为同一套实时资产视图，减少手工更新估值和多币种汇总的负担。若 Horizons 正在优化投后数据和家族层面组合报告，我希望约 15 分钟交流 Canopy 如何补充现有流程。"
3,香港,Tsangs Group,A,33,9,"公开定位为家族办公室，投资主题覆盖科技、消费、数字资产、生命科学等。",8,"Patrick Tsang 为主席，有明确个人身份与 LinkedIn 检索入口。",8,"家办平台对外投资活跃，具备购买专业资产聚合工具的预算基础。",8,"跨境项目多，适合从投资运营和家族报告效率切入。",Patrick Tsang,Chairman,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Patrick%20Tsang%20Tsangs%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://tsangsgroup.co/,"Patrick 你好，Tsangs Group 以香港家族办公室身份连接亚洲资本与全球创新项目，组合横跨科技、消费、数字资产和生命科学。Canopy 可把多银行、多券商、基金和直接投资数据整合到一个安全仪表盘，减少人工报表和管理人口径差异。若团队正在提升跨境组合监控、现金流和家族成员报告效率，我希望安排 15 分钟线上演示。"
4,香港,RS Group,A,32,8,"影响力投资家族办公室，传统投资与影响力指标并存，报告口径复杂。",8,"Annie Chen 为 founder/chair，有明确个人身份与 LinkedIn 检索入口。",8,"专业家办架构清晰，具备可持续投资和数据透明度预算。",8,"影响力与财务资产并行，适合从报告整合和治理视图切入。",Annie Chen,Founder / Chair,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Annie%20Chen%20RS%20Group%20Hong%20Kong,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.rsgroup.asia/,"Annie 你好，RS Group 在香港家族办公室中以价值观投资和影响力资产配置著称，这类组合通常需要同时追踪财务表现、管理人数据和影响力维度。Canopy 能统一银行、基金、私募和直接项目数据，形成可审计的家族级资产视图。若 RS Group 希望减少手工汇总、提升组合透明度和定期报告效率，我希望安排一次 15 分钟交流。"
5,香港,Morningside Group,B,31,8,"陈氏家族私人投资集团，生命科学、科技、地产和长期投资组合复杂。",7,"Gerald Chan 为家族 principal，有个人检索入口；需进一步确认实际投资办公室联系人。",9,"长期全球投资平台，预算能力强。",7,"决策层级可能较长，建议先从投资运营或 CFO 线索切入。",Gerald Chan,Co-founder / Chairman,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Gerald%20Chan%20Morningside%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.morningside.com/ | https://en.wikipedia.org/wiki/Gerald_Chan,"Dr. Chan 你好，Morningside 长期在生命科学、科技和地产领域进行全球投资，资产具有长期、非标、跨地域的特点。Canopy 可帮助家族资本团队把银行、券商、基金、私募和直接股权数据统一到一个视图，便于家族成员、投资团队和顾问看到一致口径。若 Morningside 正在优化投资组合报告与估值更新流程，我希望安排一次简短演示。"
6,香港,Pacific Century Group,B,31,8,"Richard Li 私人投资集团覆盖保险、科技、媒体、地产和金融服务，资产类别多元。",7,"Richard Li 为家族 principal；个人 LinkedIn 检索入口可用，需补办公室实际联系人。",9,"资产规模和跨行业复杂度高，预算能力强。",7,"家族层面可能需多级审批，建议暖介绍主席办公室或投资负责人。",Richard Li,Chairman,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Richard%20Li%20Pacific%20Century%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,http://www.pcg-group.com/ | https://en.wikipedia.org/wiki/Pacific_Century_Group,"Richard 你好，Pacific Century Group 横跨金融服务、保险、科技、媒体和地产，家族资本视角下的数据来源和报告口径天然复杂。Canopy 可统一多托管行、券商、基金、私募和直接投资数据，形成跨币种、跨实体的资产总览。若 PCG 相关家族资本团队正在提升资产透明度和定期报告效率，我希望安排 15 分钟沟通。"
7,大陆,Fosun / Guo Family Capital Equivalent,C,30,8,"复星全球产业和投资布局多元，金融、医药、消费、地产与基金资产复杂。",7,"郭广昌为明确个人 principal；LinkedIn 检索入口可用，需验证家族办公室实际联系人。",9,"资产体量和全球化程度高，预算能力强。",6,"集团化采购链较长，建议先验证主席办公室或家族资本团队。",Guo Guangchang,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Guo%20Guangchang%20Fosun,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.fosun.com/ | https://en.wikipedia.org/wiki/Guo_Guangchang,"郭总您好，复星长期进行全球化产业和投资布局，横跨医药、消费、金融和资产管理等领域。Canopy 能把多银行、多券商、基金、私募和直接投资数据统一到家族资本视图中，帮助减少分散报表和人工对账。若郭氏家族资本或主席办公室希望提升资产透明度、风险汇总和跨币种报告效率，我希望安排一次 15 分钟交流。"
8,大陆,New Hope Group / Liu Family Capital Equivalent,C,29,7,"刘氏家族产业、金融投资、农业食品和多元资产并存，潜在家族资本汇总需求强。",7,"刘永好为明确个人 principal；LinkedIn 检索入口可用，需补实际投资办公室联系人。",8,"家族产业资产大，具备系统化预算。",7,"若先找到投资办公室或家办负责人，转化效率会明显提升。",Liu Yonghao,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Liu%20Yonghao%20New%20Hope%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://en.newhopegroup.com/ | https://en.wikipedia.org/wiki/Liu_Yonghao,"刘总您好，新希望集团横跨农业食品、金融投资和多元产业，家族资本与经营资产之间需要清晰、持续的资产视图。Canopy 可整合多银行、券商、基金、私募和直接投资数据，减少 Excel 汇总和多币种报表延迟。若新希望家族资本团队正在优化跨实体资产报告和顾问协作，我希望安排一次 15 分钟线上交流。"
9,大陆,East Hope Group / Liu Family Capital Equivalent,C,28,7,"东方希望重资产产业和控股资产规模大，家族层面资产汇总复杂。",6,"刘永行为明确 principal，但公开个人触达弱，需 Apollo/Hunter 补邮箱或 LinkedIn 确认。",8,"资产规模大，长期资本治理预算存在。",7,"需要先验证是否有独立家族投资办公室。",Liu Yongxing,Founder / Chairman,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Liu%20Yongxing%20East%20Hope%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.easthope.cn/ | https://en.wikipedia.org/wiki/Liu_Yongxing,"刘总您好，东方希望长期经营重资产产业和多元控股业务，家族层面的资产、现金流、投资项目和外部金融资产很可能分布在不同实体和系统中。Canopy 专注帮助家族办公室建立统一资产聚合与报告平台，降低手工整理和跨实体汇总压力。若家族资本团队有提升资产透明度的计划，我希望安排 15 分钟沟通。"
10,大陆,Fu Wah International Group / Chan Family Platform,C,27,7,"富华家族地产、文化和投资资产并存，适合验证家族资产管理数字化需求。",6,"陈丽华为明确 principal，但个人级触达需进一步补强。",8,"家族资产体量大，预算能力存在。",6,"决策链较长，建议通过主席办公室或顾问渠道暖介绍。",Chan Laiwa,Founder / Chair,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Chan%20Laiwa%20Fu%20Wah%20International%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.fuwahgroup.com/ | https://en.wikipedia.org/wiki/Chan_Laiwa,"陈女士您好，富华国际集团长期覆盖地产、文化和多元投资，家族资产与企业资产之间的汇总、估值和报告需要清晰治理工具。Canopy 可为家族办公室整合银行、券商、基金、私募和直接项目数据，形成统一资产视图。若富华家族平台希望提升资产管理效率和顾问协作，我希望安排一次 15 分钟交流。"
